codepoint,char,middle_chinese,initial,final,tone,old_initial,old_nucleus,old_coda
20273,伱,ɳɨ³⁵,ɳ,ɨ,³⁵,,,
20274,伲,ɳɰiᴇ³⁵,ɳɰ,iᴇ,³⁵,,,
20275,伳,siᴇt³̲³̲,s,iᴇt̲̲,³,,,
20276,伴,bʷɑn³¹,bʷ,ɑn,³¹,b,a,̠ns
20277,伵,hʷi³¹,hʷ,i,³¹,,,
20278,伶,leŋ³¹,l,eŋ,³¹,ɡ,ə,r
20279,伷,ɖɨu³¹,ɖ,ɨu,³¹,,,
20280,伸,ɕin³³,ɕ,in,³³,l̥,i,n
20281,伹,tsʰjɤ³³,tsʰj,ɤ,³³,skh,a,
20282,伺,sɨ³¹,s,ɨ,³¹,l̥j,ɯ,s
20283,伻,pɰɛŋ³³,pɰ,ɛŋ,³³,phr,e,̠ŋ
20284,似,zɨ³⁵,z,ɨ,³⁵,sɢl,ɯ,ʔ
20285,伽,ɡjɑ³³,ɡj,ɑ,³³,ɡ,a,
20286,伾,bɰi³³,bɰ,i,³³,phr,ɯ,
20287,伿,tɕiᴇ³¹,tɕ,iᴇ,³¹,ɢ,e,s
20288,佀,zɨ³⁵,z,ɨ,³⁵,sɢl,ɯ,ʔ
20289,佁,zɨ³⁵,z,ɨ,³⁵,kh‧l,ɯ,s
20290,佂,tɕiᴇŋ³³,tɕ,iᴇŋ,³³,kj,e,ŋ
20291,佃,den³¹,d,en,³¹,l,i,̠ŋs
20292,佄,ɦɑm³³,ɦ,ɑm,³³,,,
20293,佅,mɰæi³¹,mɰæ,i,³¹,mr,a,̠ds
20294,但,dɑn³³,d,ɑn,³³,d,a,̠ns
20295,佇,ɳɰɛŋ³³,ɳɰ,ɛŋ,³³,d,a,ʔ
20296,佈,pu̯o³¹,p,u̯o,³¹,p,a,̠s
20297,佉,kʰjɑ³³,kʰj,ɑ,³³,kh,a,
20298,佊,pɰiᴇ³⁵,pɰ,iᴇ,³⁵,pr,a,ls
20299,佋,dʑiᴇu³³,dʑ,iᴇu,³³,,,
20300,佌,siᴇ³⁵,s,iᴇ,³⁵,sh,e,ʔ
20301,位,ɦʲʷi³¹,ɦʲʷ,i,³¹,ɢʷr,ɯ,bs
20302,低,tei³³,t,ei,³³,t,i,̠l
20303,住,ɖjʊ³¹,ɖj,ʊ,³¹,d,o,s
20304,佐,tsɑ³¹,ts,ɑ,³¹,s,a,̠ls
20305,佑,ɦʲɨu³¹,ɦʲ,ɨu,³¹,ɢʷ,ɯ,s
20306,佒,ʔjaŋ³³,ʔj,aŋ,³³,q,a,̠ŋ
20307,体,bu̯on³⁵,b,u̯on,³⁵,,,
20308,佔,tem³³,t,em,³³,k‧l,e,̠m
20309,何,ɦɑ³³,ɦ,ɑ,³³,ɡ,a,̠l
20310,佖,bɰit³̲³̲,bɰ,it̲̲,³,bl,i,ɡ
20311,佗,dɑ³³,d,ɑ,³³,l̥,a,̠l
20312,佘,dʑjæ³³,dʑjæ,,³³,,,
20313,余,dʑjæ³³,dʑjæ,,³³,ɢl,a,
20314,佚,jit³̲³̲,j,it̲̲,³,l,i,ɡ
20315,佛,pʰʷɨi³¹,pʰʷ,ɨi,³¹,b,ɯ,d
20316,作,tsu̯o³⁵,ts,u̯o,³⁵,s,a,̠ɡs
20317,佝,kʰu³¹,kʰ,u,³¹,qh,o,̠s
20318,佞,neŋ³³,n,eŋ,³³,n,i,̠ŋs
20319,佟,du̯oŋ³³,d,u̯oŋ,³³,,,
20320,你,ɳɰiᴇ³⁵,ɳɰ,iᴇ,³⁵,,,
20321,佡,,,,,,,
20322,佢,,,,,,,
20323,佣,jʊŋ³³,j,ʊŋ,³³,,,
20324,佤,,,,,,,
20325,佥,,,,,,,
20326,佦,,,,,,,
20327,佧,,,,,,,
20328,佨,,,,,,,
20329,佩,bu̯oi³¹,b,u̯oi,³¹,b,ɯ,̠s
20330,佪,ɦu̯oi³³,ɦ,u̯oi,³³,ɡ,u,̠l
20331,佫,kɰæk³̲³̲,kɰæk̲̲,,³,,,
20332,佬,,,,,,,
20333,佭,,,,,,,
20334,佮,kəp³̲³̲,k,əp̲̲,³,kh‧l,u,̠b
20335,佯,jaŋ³³,j,aŋ,³³,ɢl,a,ŋ
20336,佰,mɰæk³̲³̲,mɰæk̲̲,,³,mbr,a,̠ɡ
20337,佱,pjap³̲³̲,pj,ap̲̲,³,,,
20338,佲,meŋ³⁵,m,eŋ,³⁵,,,
20339,佳,kɰɛ³³,kɰ,ɛ,³³,kr,e,̠
20340,佴,nəi³¹,n,əi,³¹,m‧l,ɯ,̠s
20341,併,piᴇŋ³¹,p,iᴇŋ,³¹,b,e,̠ŋʔ
20342,佶,ɡɰit³̲³̲,ɡɰ,it̲̲,³,ɡr,i,d
20343,佷,ɦəŋ³³,ɦ,əŋ,³³,,,
20344,佸,kʷɑt³̲³̲,kʷ,ɑt̲̲,³,ɡ,o,̠d
20345,佹,kʷɰiᴇ³⁵,kʷɰ,iᴇ,³⁵,kr,o,lʔ
20346,佺,tsʰʷiᴇn³³,tsʰʷ,iᴇn,³³,skh,o,n
20347,佻,tʰeu³¹,tʰ,eu,³¹,ɡ‧l,e,̠w
